Наименование;Форма выпуска;Количество в упаковке;Длина (мм);Ширина (мм);Высота (мм);Масса брутто (г);Примечание
Лидокаин спрей д/местн. и наружн. прим. доз. 4.6 мг/доза фл. 650 г пач. картон. 1;Спрей 650 г;большой;180;50;50;700;Флакон с распылителем, не переворачивать
Лоратадин табл. 10 мг конт. 10 пач. картон. 1;Таблетки блистер;10;105;55;18;15;Пачка картонная
Магния сульфат р-р для в/в введ. 250 мг/мл амп. 10 мл пач. картон. 10 Гротекс;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Магния сульфат р-р для в/в введ. 250 мг/мл амп. 10 мл пач. картон. 10 ЭСКОМ;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Магния сульфат р-р для в/в введ. 250 мг/мл амп. 10 мл Слав.;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Маска ларингеальная одноразовая;Маска;1;200;100;30;40;Индивидуальная стерильная упаковка
Маска медицинская одноразовая;Маска;1;175;95;5;4;Индивидуальная упаковка
Мезатон р-р д/ин. 10 мг/мл амп. 1 мл пач. картон. 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Мексицинат Органика р-р для в/в и в/м введ. 50 мг/мл амп. 5 мл пач. картон. 10;Ампулы 5 мл;10;130;105;42;100;Пачка картонная
Метоклопрамид-Эском р-р для в/в и в/м введ. 5 мг/мл амп. 2 мл пач. картон. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Метоклопрамид р-р для в/в и в/м введ. 5 мг/мл амп. 2 мл пач. картон. 10 Биохимик;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Метопролол-Арзу р-р для в/в введ. 1 мг/мл амп. 5 мл пач. картон. 10;Ампулы 5 мл;10;130;105;42;100;Пачка картонная
Метопролол р-р для в/в введ. 1 мг/мл амп. 5 мл пач. картон. 5 Озон;Ампулы 5 мл;5;120;100;25;60;Пачка картонная
Метронидазол р-р д/инф. 500 мг/100 мл фл. 100 мл пач. картон. 1;Флакон 100 мл;1;105;50;50;200;Флакон стекло/ПП, не переворачивать
Милдронат р-р для в/в в/м и парабульб. введ. 100 мг/мл амп. 5 мл пач. картон. 10;Ампулы 5 мл;10;130;105;42;100;Пачка картонная
Моксонидин-СЗ табл. п.п.о. 0.2 мг бл. 30 пач. картон. 2;Таблетки блистер;60;135;90;28;55;Пачка картонная
Моксонидин табл. п.п.о. 0.2 мг бл. 14 пач. картон. 1 Озон;Таблетки блистер;14;110;65;20;20;Пачка картонная
Морфин р-р 10 мг/мл амп. 1 мл пач. картон. 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная, ПКУ
Мундштук для алкотектора одноразовый;Мундштук;1;50;15;15;3;Индивидуальная упаковка
Налоксон р-р д/ин. 0.4 мг/мл амп. 1 мл пач. картон. 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Натрия хлорид р-р 9 мг/мл конт. 200 мл ящ. картон. 32 Мосф.;Контейнер полимерный 200 мл;1;140;100;30;220;Контейнер гибкий
Натрия хлорид р-р д/ин. 0.9% амп. 10 мл пач. картон. 10 Фармасинтез;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Натрия хлорид р-р д/инф. 0.9% бан. 200 мл пач. картон. 28 ЭСКОМ;Флакон 200 мл;1;140;65;65;360;Флакон стекло/ПП, не переворачивать
Натрия хлорид р-р д/инф. 0.9% бан. 200 мл пач. картон. 28 Мосфарм;Флакон 200 мл;1;140;65;65;360;Флакон стекло/ПП, не переворачивать
Натрия хлорид растворит. д/лек. форм д/ин. 0.9% амп. 10 мл N10 Армавир.;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Натрия хлорид растворит. д/лек. форм д/ин. 0.9% амп. 10 мл пач. картон. 10 Эском Неро;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Нитроспрей спрей подъязычн. доз. 0.4 мг/доза с нас.-распыл. 200 доз 10 мл N1 Фармстандарт;Спрей 10 мл;200 доз;90;30;30;45;Флакон с дозатором, не переворачивать
Нитроспрей спрей подъязычн. доз. 0.4 мг/доза фл. с доз. насосом 200 пач. картон. 1;Спрей 10 мл;200 доз;90;30;30;45;Флакон с дозатором, не переворачивать
Нифедипин табл. п.п.о. 10 мг N50 Озон Фарм;Таблетки блистер;50;120;85;35;55;Пачка картонная
Новокаин р-р д/ин. 0.5% с нож. амп. 10 мл N10 Армавирская биофабрика;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Окситоцин-Рихтер р-р д/инф. и в/м введ. 5 МЕ/мл амп. 1 мл пач. картон. 5;Ампулы 1 мл;5;100;60;20;30;Пачка картонная
Омепразол капс. 20 мг бл. 10 пач. картон. 3;Капсулы блистер;30;115;75;28;40;Пачка картонная
Омепразол лиоф. д/приг. р-ра д/инф. 40 мг фл. 40 мг пач. картон. 1;Флакон с лиофилизатом;1;70;45;45;20;Пачка картонная
Парацетамол детский сусп. для приема внутрь 120 мг/5 мл фл. 100 г пач. картон. 1;Суспензия 100 мл;1;140;55;55;190;Флакон ПЭТ, не переворачивать
Парацетамол сусп. для приема внутрь 120 мг/5 мл с доз. ложкой 100 мл N1 Синтез;Суспензия 100 мл;1;140;55;55;190;Флакон ПЭТ, не переворачивать
Пентоксифиллин конц. д/приг. р-ра д/инф. 20 мг/мл амп. 5 мл пач. картон. 10;Ампулы 5 мл;10;130;105;42;100;Пачка картонная
Перекись водорода р-р д/местн. и наружн. прим. 3% д/стационар. 100 мл N1 ЮжФарм;Флакон 100 мл;1;125;45;45;120;Флакон ПЭТ, не переворачивать
Перекись водорода р-р д/местн. и наружн. прим. 3% фл. 100 мл Тульская ФФ;Флакон 100 мл;1;125;45;45;120;Флакон ПЭТ, не переворачивать
Перчатки н/ст латексные смотровые;Перчатки;1 пара;240;95;5;10;Индивидуальная упаковка пара
Пинцет анатомический;Инструмент;1;150;20;10;25;Индивидуальная упаковка
Пиридоксин р-р д/ин. 50 мг/мл 1 мл N10 Ереванская ХФФ;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Пиридоксин р-р д/ин. 50 мг/мл амп. 1 мл кор. 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Платифиллина гидротартрат р-р для п/к введ. 2 мг/мл с нож. амп. 1 мл N10 Дальхимфарм;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Преднизолон р-р для в/в и в/м введ. 30 мг/мл амп. 1 мл пач. картон. 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Проинин р-р для в/в и в/м введ. 50 мг/мл амп. 5 мл пач. картон. 10;Ампулы 5 мл;10;130;105;42;100;Пачка картонная
Пропофол Каби эмульс. для в/в введ. 10 мг/мл амп. 20 мл пач. картон. 5;Ампулы 20 мл;5;155;95;35;160;Пачка картонная
Простынь хирургическая нестерильная;Простынь;1;300;200;20;150;Индивидуальная упаковка
Пульмибуд сусп. д/ингал. доз. 0.5 мг/мл амп. 2 мл пач. картон. 20;Ампулы полимерные 2 мл;20;130;100;45;90;Пачка картонная
Раствор Рингера р-р д/инф. бан. 200 мл пач. картон. 28 Мосфарм;Флакон 200 мл;1;140;65;65;360;Флакон стекло/ПП, не переворачивать
Реамберин р-р д/инф. 1.5% конт. 250 мл тара картон. 5;Контейнер полимерный 250 мл;1;160;110;35;275;Контейнер гибкий
Салфетки марлевые ньюфарм 16x14см N10шт стер;Салфетки;10;170;120;25;35;Индивидуальная упаковка
Салфетки спиртовые 110х125 одноразовые;Салфетки;1;130;115;3;5;Индивидуальная упаковка
Салфетки стерильные 16х14;Салфетки;10;170;120;25;35;Индивидуальная упаковка
Сальбутамол АВ аэроз. д/ингал. доз. 100 мкг/доза балл. 200 пач. картон. 1;Аэрозоль 12 мл;200 доз;110;50;50;45;Баллон под давлением, не переворачивать
Сибазон р-р для в/в и в/м введ. 5 мг/мл с нож. амп. 2 мл N5 МЭЗ;Ампулы 2 мл;5;115;85;20;40;Пачка картонная, ПКУ
Системы для инфузий одноразовые;Система;1;350;100;15;40;Индивидуальный полибэг
Скальпель одноразовый;Инструмент;1;150;25;10;10;Индивидуальный блистер
Скарификатор одноразовый;Инструмент;1;40;20;5;1;Индивидуальная упаковка
Смекта пор. д/сусп. для приема внутрь 3 г пак. 3.76 г пач. картон. 30;Саше;30;120;90;80;155;Пачка картонная
Спазматен р-р для в/в и в/м введ. 500 мг/мл+2 мг/мл+0.02 мг/мл амп. 5 мл пач. картон. 10;Ампулы 5 мл;10;130;105;42;100;Пачка картонная
Стелфрин р-р д/ин. 10 мг/мл амп. 1 мл пач. картон. 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Суприламин р-р для в/в и в/м введ. 20 мг/мл амп. 1 мл пач. картон. 5;Ампулы 1 мл;5;100;60;20;30;Пачка картонная
Тест-полоски к глюкометрам Diacont;Тест-полоски;50;85;55;25;35;Флакон/туба
Тиамина хлорид р-р для в/м введ. 50 мг/мл 1 мл N10 Ереванская ХФФ;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Трамадол р-р 50 мг/мл амп. 2 мл пач. картон. 5;Ампулы 2 мл;5;115;85;20;40;Пачка картонная, ПКУ
Трамадол р-р д/ин. 50 мг/мл 2 мл N5 МЭЗ;Ампулы 2 мл;5;115;85;20;40;Пачка картонная, ПКУ
Тринальгин р-р 500 мг+2 мг+0.02 мг/мл амп. 5 мл пач. картон. 10;Ампулы 5 мл;10;130;105;42;100;Пачка картонная
Уголь активированный табл. 250 мг бл. 10 Фармстандарт-Лексредства;Таблетки блистер;10;105;55;15;12;Пачка картонная
Унитиол-Ферейн р-р для в/м и п/к введ. 5% амп. 5 мл пач. картон. 10;Ампулы 5 мл;10;130;105;42;100;Пачка картонная
Унитиол р-р для в/м и п/к введ. 50 мг/мл амп. 5 мл кор. 10 Новосиб.;Ампулы 5 мл;10;130;105;42;100;Пачка картонная
Урапидил Дж р-р для в/в введ. 5 мг/мл фл. 5 мл пач. картон. 5;Флаконы 5 мл;5;120;70;45;75;Пачка картонная
Урапидил-натив р-р для в/в введ. 5 мг/мл фл. 5 мл пач. картон. 5;Флаконы 5 мл;5;120;70;45;75;Пачка картонная
Урапресин р-р для в/в введ. 5 мг/мл амп. 5 мл пач. картон. 5;Ампулы 5 мл;5;120;100;25;60;Пачка картонная
Фамотидин лиоф. д/приг. р-ра для в/в введ. 20 мг фл. 20 мг пач. картон. 5;Флаконы с лиофилизатом;5;120;70;45;60;Пачка картонная
Фамотидин табл. п.п.о. 40 мг бл. 10 пач. картон. 2;Таблетки блистер;20;105;60;22;30;Пачка картонная
Феназепам р-р для в/в и в/м введ. 1 мг/мл амп. 1 мл пач. картон. 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная, ПКУ
Фентанил р-р для в/в и в/м введ. 50 мкг/мл 2 мл N10 МЭЗ;Ампулы 2 мл;10;120;85;35;70;Пачка картонная, ПКУ
Фортелизин лиоф. д/р-ра для в/в введ. 5 мг (745000 МЕ) фл. 5 мг пач. картон. 1;Флакон с лиофилизатом;1;70;45;45;25;Пачка картонная
Фуросемид буфус р-р для в/в и в/м введ. 10 мг/мл амп. 2 мл пач. картон. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Фуросемид р-р д/ин. 20 мг/2 мл амп. 2 мл пач. картон. 10 БЗМП;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Фуросемид р-р для в/в и в/м введ. 10 мг/мл амп. 2 мл кор. 10 Дальхим;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Хлоргексидина биглюконат р-р д/местн. и наружн. прим. 0.05% 100 мл N1 Тульская;Флакон 100 мл;1;130;50;50;130;Флакон ПЭТ, не переворачивать
Хлоргексидина биглюконат р-р д/наружн. прим. 0.05% бан. 100 мл Росбио;Флакон 100 мл;1;130;50;50;130;Флакон ПЭТ, не переворачивать
Хлоропирамин р-р 20 мг/мл амп. 1 мл пач. картон. 5;Ампулы 1 мл;5;100;60;20;30;Пачка картонная
Хлоропирамин р-р для в/в и в/м введ. 20 мг/мл амп. 1 мл пач. картон. 5 Армав.;Ампулы 1 мл;5;100;60;20;30;Пачка картонная
Цефтриаксон пор. д/приг. р-ра для в/в и в/м введ. 1 г фл. 1000 мг пач. картон. 1;Флакон с порошком;1;70;45;45;18;Пачка картонная
Цитофлавин р-р для в/в введ. амп. 10 мл пач. картон. 10;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Шпатель одноразовый;Инструмент;1;150;20;5;5;Индивидуальная упаковка
Шприц одноразовый 10 мл;Шприц;1;200;40;25;10;Индивидуальный полибэг
Шприц одноразовый 2 мл;Шприц;1;150;35;20;6;Индивидуальный полибэг
Шприц одноразовый 20 мл;Шприц;1;220;50;30;14;Индивидуальный полибэг
Шприц одноразовый 5 мл;Шприц;1;175;40;22;8;Индивидуальный полибэг
Элзепам р-р для в/в и в/м введ. 1 мг/мл с нож. амп. 1 мл N10 Эллара;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Энап Р р-р для в/в введ. 1.25 мг/мл амп. 1 мл пач. картон. 5;Ампулы 1 мл;5;100;60;20;30;Пачка картонная
Этамзилат р-р д/ин. 125 мг/мл амп. 2 мл пач. картон. 10 Новосиб;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Эуфиллин р-р для в/в введ. 24 мг/мл амп. 10 мл пач. картон. 10 Новосиб;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
