Организация;;;;;;Начальный остаток;Приход;Расход;Конечный остаток
Склад;;;;;;Количество;Количество;Количество;Количество
Источник финансирования;;;;;;;;;
Номенклатура;;;;;Ед. изм.;;;;
Серия номенклатуры, Партия;;;;;;;;;
Регистратор;;;;;;;;;
440922 до 31.08.25, <партии не учитываются>;;;;;;6 360,000;;6 360,000;
Отпуск в отделение 0000-000005 от 09.01.2024 11:47:30;;;;;;6 360,000;;600,000;5 760,000
Отпуск в отделение 0000-000017 от 16.01.2024 15:20:56;;;;;;5 760,000;;300,000;5 460,000
Отпуск в отделение 0000-000022 от 22.01.2024 8:59:29;;;;;;5 460,000;;600,000;4 860,000
Отпуск в отделение 0000-000040 от 05.02.2024 10:54:32;;;;;;4 860,000;;600,000;4 260,000
Отпуск в отделение 0000-000044 от 07.02.2024 10:46:01;;;;;;4 260,000;;600,000;3 660,000
Отпуск в отделение 0000-000047 от 07.02.2024 13:06:21;;;;;;3 660,000;;240,000;3 420,000
Отпуск в отделение 0000-000052 от 12.02.2024 10:08:46;;;;;;3 420,000;;600,000;2 820,000
Отпуск в отделение 0000-000060 от 19.02.2024 11:14:10;;;;;;2 820,000;;600,000;2 220,000
Отпуск в отделение 0000-000063 от 21.02.2024 9:44:05;;;;;;2 220,000;;600,000;1 620,000
Отпуск в отделение 0000-000066 от 21.02.2024 10:30:11;;;;;;1 620,000;;600,000;1 020,000
Отпуск в отделение 0000-000073 от 26.02.2024 10:35:14;;;;;;1 020,000;;600,000;420,000
Отпуск в отделение 0000-000076 от 01.03.2024 10:38:57;;;;;;420,000;;420,000;
Моксонидин, табл. п.п.о. 0.2 мг, бл. 14, пач. картон. 1 Озон;;;;;шт;;42 000,000;24 234,000;17 766,000
040124 до 31.12.26, <партии не учитываются>;;;;;;;42 000,000;24 234,000;17 766,000
Поступление товаров 0000-000024 от 12.04.2024 14:30:19;;;;;;;42 000,000;;42 000,000
Отпуск в отделение 0000-000153 от 15.04.2024 9:19:31;;;;;;42 000,000;;588,000;41 412,000
Отпуск в отделение 0000-000157 от 15.04.2024 10:38:21;;;;;;41 412,000;;280,000;41 132,000
Отпуск в отделение 0000-000159 от 17.04.2024 9:05:57;;;;;;41 132,000;;560,000;40 572,000
Отпуск в отделение 0000-000161 от 17.04.2024 10:12:19;;;;;;40 572,000;;140,000;40 432,000
Отпуск в отделение 0000-000165 от 22.04.2024 10:49:17;;;;;;40 432,000;;588,000;39 844,000
Отпуск в отделение 0000-000168 от 23.04.2024 10:22:26;;;;;;39 844,000;;280,000;39 564,000
Отпуск в отделение 0000-000169 от 24.04.2024 9:37:10;;;;;;39 564,000;;280,000;39 284,000
Отпуск в отделение 0000-000175 от 26.04.2024 10:21:39;;;;;;39 284,000;;140,000;39 144,000
Отпуск в отделение 0000-000181 от 03.05.2024 13:17:20;;;;;;39 144,000;;280,000;38 864,000
Отпуск в отделение 0000-000183 от 06.05.2024 9:17:42;;;;;;38 864,000;;588,000;38 276,000
Отпуск в отделение 0000-000184 от 06.05.2024 10:38:18;;;;;;38 276,000;;280,000;37 996,000
Отпуск в отделение 0000-000190 от 07.05.2024 11:06:49;;;;;;37 996,000;;140,000;37 856,000
Отпуск в отделение 0000-000192 от 08.05.2024 10:45:30;;;;;;37 856,000;;280,000;37 576,000
Отпуск в отделение 0000-000200 от 17.05.2024 9:57:13;;;;;;37 576,000;;140,000;37 436,000
Отпуск в отделение 0000-000205 от 20.05.2024 13:40:22;;;;;;37 436,000;;280,000;37 156,000
Отпуск в отделение 0000-000213 от 22.05.2024 9:22:30;;;;;;37 156,000;;280,000;36 876,000
Отпуск в отделение 0000-000214 от 23.05.2024 13:10:14;;;;;;36 876,000;;210,000;36 666,000
Отпуск в отделение 0000-000217 от 24.05.2024 10:03:37;;;;;;36 666,000;;140,000;36 526,000
Отпуск в отделение 0000-000224 от 29.05.2024 10:48:28;;;;;;36 526,000;;140,000;36 386,000
Отпуск в отделение 0000-000227 от 03.06.2024 9:38:13;;;;;;36 386,000;;280,000;36 106,000
Отпуск в отделение 0000-000233 от 04.06.2024 14:07:33;;;;;;36 106,000;;140,000;35 966,000
Отпуск в отделение 0000-000242 от 10.06.2024 11:05:29;;;;;;35 966,000;;140,000;35 826,000
Отпуск в отделение 0000-000245 от 18.06.2024 10:51:43;;;;;;35 826,000;;280,000;35 546,000
Отпуск в отделение 0000-000248 от 18.06.2024 13:15:26;;;;;;35 546,000;;140,000;35 406,000
Отпуск в отделение 0000-000251 от 20.06.2024 9:03:18;;;;;;35 406,000;;280,000;35 126,000
Отпуск в отделение 0000-000257 от 21.06.2024 10:04:02;;;;;;35 126,000;;280,000;34 846,000
Отпуск в отделение 0000-000259 от 24.06.2024 11:19:16;;;;;;34 846,000;;280,000;34 566,000
Отпуск в отделение 0000-000265 от 27.06.2024 10:15:05;;;;;;34 566,000;;140,000;34 426,000
Отпуск в отделение 0000-000267 от 01.07.2024 9:04:14;;;;;;34 426,000;;560,000;33 866,000
Отпуск в отделение 0000-000271 от 03.07.2024 9:32:38;;;;;;33 866,000;;280,000;33 586,000
Отпуск в отделение 0000-000276 от 05.07.2024 11:22:28;;;;;;33 586,000;;280,000;33 306,000
Отпуск в отделение 0000-000281 от 10.07.2024 10:13:12;;;;;;33 306,000;;280,000;33 026,000
Отпуск в отделение 0000-000288 от 15.07.2024 10:19:45;;;;;;33 026,000;;140,000;32 886,000
Отпуск в отделение 0000-000294 от 17.07.2024 10:55:10;;;;;;32 886,000;;280,000;32 606,000
Отпуск в отделение 0000-000296 от 17.07.2024 11:41:19;;;;;;32 606,000;;280,000;32 326,000
Отпуск в отделение 0000-000306 от 26.07.2024 9:58:17;;;;;;32 326,000;;140,000;32 186,000
Отпуск в отделение 0000-000309 от 29.07.2024 10:50:02;;;;;;32 186,000;;280,000;31 906,000
Отпуск в отделение 0000-000314 от 02.08.2024 14:51:50;;;;;;31 906,000;;140,000;31 766,000
Отпуск в отделение 0000-000321 от 07.08.2024 11:08:47;;;;;;31 766,000;;210,000;31 556,000
Отпуск в отделение 0000-000326 от 09.08.2024 11:03:19;;;;;;31 556,000;;140,000;31 416,000
Отпуск в отделение 0000-000331 от 12.08.2024 14:45:46;;;;;;31 416,000;;140,000;31 276,000
Отпуск в отделение 0000-000335 от 14.08.2024 10:08:22;;;;;;31 276,000;;280,000;30 996,000
Отпуск в отделение 0000-000340 от 19.08.2024 9:06:52;;;;;;30 996,000;;280,000;30 716,000
Отпуск в отделение 0000-000346 от 22.08.2024 11:21:57;;;;;;30 716,000;;280,000;30 436,000
Отпуск в отделение 0000-000349 от 23.08.2024 11:12:30;;;;;;30 436,000;;280,000;30 156,000
Отпуск в отделение 0000-000356 от 28.08.2024 10:51:39;;;;;;30 156,000;;280,000;29 876,000
Отпуск в отделение 0000-000360 от 02.09.2024 9:34:07;;;;;;29 876,000;;280,000;29 596,000
Отпуск в отделение 0000-000365 от 05.09.2024 13:17:07;;;;;;29 596,000;;140,000;29 456,000
Отпуск в отделение 0000-000368 от 09.09.2024 9:52:34;;;;;;29 456,000;;280,000;29 176,000
Отпуск в отделение 0000-000372 от 11.09.2024 10:22:00;;;;;;29 176,000;;280,000;28 896,000
Отпуск в отделение 0000-000377 от 16.09.2024 10:13:06;;;;;;28 896,000;;140,000;28 756,000
Отпуск в отделение 0000-000382 от 19.09.2024 8:21:45;;;;;;28 756,000;;280,000;28 476,000
Отпуск в отделение 0000-000385 от 20.09.2024 11:17:32;;;;;;28 476,000;;280,000;28 196,000
Отпуск в отделение 0000-000395 от 01.10.2024 10:34:02;;;;;;28 196,000;;140,000;28 056,000
Отпуск в отделение 0000-000400 от 04.10.2024 10:35:07;;;;;;28 056,000;;280,000;27 776,000
Отпуск в отделение 0000-000402 от 08.10.2024 9:37:04;;;;;;27 776,000;;280,000;27 496,000
Отпуск в отделение 0000-000407 от 10.10.2024 10:54:04;;;;;;27 496,000;;420,000;27 076,000
Отпуск в отделение 0000-000409 от 11.10.2024 11:13:14;;;;;;27 076,000;;280,000;26 796,000
Отпуск в отделение 0000-000413 от 14.10.2024 11:10:06;;;;;;26 796,000;;140,000;26 656,000
Отпуск в отделение 0000-000417 от 18.10.2024 11:13:47;;;;;;26 656,000;;280,000;26 376,000
Отпуск в отделение 0000-000420 от 21.10.2024 10:57:24;;;;;;26 376,000;;280,000;26 096,000
Отпуск в отделение 0000-000430 от 25.10.2024 9:45:24;;;;;;26 096,000;;280,000;25 816,000
Отпуск в отделение 0000-000436 от 01.11.2024 13:39:05;;;;;;25 816,000;;140,000;25 676,000
Отпуск в отделение 0000-000438 от 02.11.2024 14:01:12;;;;;;25 676,000;;280,000;25 396,000
Отпуск в отделение 0000-000440 от 05.11.2024 9:29:38;;;;;;25 396,000;;280,000;25 116,000
Отпуск в отделение 0000-000444 от 06.11.2024 8:43:10;;;;;;25 116,000;;420,000;24 696,000
Отпуск в отделение 0000-000445 от 06.11.2024 10:42:12;;;;;;24 696,000;;140,000;24 556,000
Отпуск в отделение 0000-000454 от 11.11.2024 10:54:33;;;;;;24 556,000;;280,000;24 276,000
Отпуск в отделение 0000-000457 от 15.11.2024 10:16:51;;;;;;24 276,000;;280,000;23 996,000
Отпуск в отделение 0000-000460 от 18.11.2024 10:02:14;;;;;;23 996,000;;140,000;23 856,000
Отпуск в отделение 0000-000462 от 18.11.2024 10:23:59;;;;;;23 856,000;;280,000;23 576,000
Отпуск в отделение 0000-000465 от 20.11.2024 9:29:48;;;;;;23 576,000;;280,000;23 296,000
Отпуск в отделение 0000-000475 от 25.11.2024 10:26:17;;;;;;23 296,000;;280,000;23 016,000
Отпуск в отделение 0000-000479 от 28.11.2024 10:45:08;;;;;;23 016,000;;280,000;22 736,000
Отпуск в отделение 0000-000483 от 02.12.2024 9:12:54;;;;;;22 736,000;;280,000;22 456,000
Отпуск в отделение 0000-000492 от 04.12.2024 15:36:06;;;;;;22 456,000;;140,000;22 316,000
Отпуск в отделение 0000-000495 от 06.12.2024 11:07:16;;;;;;22 316,000;;280,000;22 036,000
Отпуск в отделение 0000-000499 от 09.12.2024 10:48:28;;;;;;22 036,000;;280,000;21 756,000
Отпуск в отделение 0000-000502 от 10.12.2024 11:09:59;;;;;;21 756,000;;280,000;21 476,000
Отпуск в отделение 0000-000505 от 13.12.2024 9:22:52;;;;;;21 476,000;;140,000;21 336,000
Отпуск в отделение 0000-000507 от 13.12.2024 13:28:27;;;;;;21 336,000;;280,000;21 056,000
Отпуск в отделение 0000-000508 от 16.12.2024 9:25:15;;;;;;21 056,000;;280,000;20 776,000
Отпуск в отделение 0000-000510 от 17.12.2024 14:03:59;;;;;;20 776,000;;140,000;20 636,000
Отпуск в отделение 0000-000513 от 18.12.2024 9:09:40;;;;;;20 636,000;;280,000;20 356,000
Отпуск в отделение 0000-000516 от 20.12.2024 11:23:13;;;;;;20 356,000;;280,000;20 076,000
Отпуск в отделение 0000-000520 от 24.12.2024 10:56:12;;;;;;20 076,000;;280,000;19 796,000
Отпуск в отделение 0000-000522 от 24.12.2024 15:26:22;;;;;;19 796,000;;350,000;19 446,000
Отпуск в отделение 0000-000527 от 26.12.2024 8:58:42;;;;;;19 446,000;;280,000;19 166,000
Отпуск в отделение 0000-000531 от 27.12.2024 13:33:59;;;;;;19 166,000;;1 400,000;17 766,000
Морфин р-р 10 мг/мл, амп. 1 см3 (мл), пач. картон. 10;;;;;амп. 1 см3;80,00;620,000;600,000;100,000
110923 до 30.09.26, <партии не учитываются>;;;;;;;70,000;70,000;
Поступление товаров 0000-000080 от 06.09.2024 15:33:10;;;;;;;70,000;;70,000
Отпуск в отделение 0000-000393 от 30.09.2024 12:06:55;;;;;;70,000;;20,000;50,000
Отпуск в отделение 0000-000405 от 09.10.2024 9:50:56;;;;;;50,000;;20,000;30,000
Отпуск в отделение 0000-000418 от 18.10.2024 11:36:20;;;;;;30,000;;10,000;20,000
Отпуск в отделение 0000-000435 от 01.11.2024 11:39:35;;;;;;20,000;;20,000;
60423 до 31.03.26, <партии не учитываются>;;;;;;80,000;;80,000;
Отпуск в отделение 0000-000031 от 26.01.2024 13:27:55;;;;;;80,000;;10,000;70,000
Отпуск в отделение 0000-000036 от 02.02.2024 10:32:49;;;;;;70,000;;10,000;60,000
Отпуск в отделение 0000-000051 от 09.02.2024 10:48:58;;;;;;60,000;;10,000;50,000
Отпуск в отделение 0000-000053 от 12.02.2024 11:39:17;;;;;;50,000;;10,000;40,000
Отпуск в отделение 0000-000059 от 16.02.2024 11:38:34;;;;;;40,000;;10,000;30,000
Отпуск в отделение 0000-000071 от 26.02.2024 9:55:59;;;;;;30,000;;10,000;20,000
Отпуск в отделение 0000-000075 от 29.02.2024 9:43:58;;;;;;20,000;;20,000;
70623 до 30.06.26, <партии не учитываются>;;;;;;;350,000;350,000;
Поступление товаров 0000-000006 от 05.03.2024 14:51:15;;;;;;;100,000;;100,000
Отпуск в отделение 0000-000086 от 06.03.2024 11:12:26;;;;;;100,000;;10,000;90,000
Отпуск в отделение 0000-000101 от 15.03.2024 11:45:58;;;;;;90,000;;10,000;80,000
Отпуск в отделение 0000-000111 от 22.03.2024 11:04:02;;;;;;80,000;;20,000;60,000
Отпуск в отделение 0000-000120 от 29.03.2024 9:16:15;;;;;;60,000;;10,000;50,000
Поступление товаров 0000-000013 от 03.04.2024 8:30:11;;;;;;50,000;100,000;;150,000
Отпуск в отделение 0000-000134 от 05.04.2024 11:06:29;;;;;;150,000;;10,000;140,000
Отпуск в отделение 0000-000148 от 12.04.2024 9:36:13;;;;;;140,000;;10,000;130,000
Отпуск в отделение 0000-000155 от 15.04.2024 10:31:05;;;;;;130,000;;10,000;120,000
Отпуск в отделение 0000-000167 от 23.04.2024 10:18:44;;;;;;120,000;;10,000;110,000
Отпуск в отделение 0000-000174 от 26.04.2024 9:11:24;;;;;;110,000;;20,000;90,000
Отпуск в отделение 0000-000193 от 08.05.2024 12:12:48;;;;;;90,000;;20,000;70,000
Отпуск в отделение 0000-000219 от 24.05.2024 11:02:33;;;;;;70,000;;10,000;60,000
Отпуск в отделение 0000-000230 от 03.06.2024 11:47:48;;;;;;60,000;;10,000;50,000
Поступление товаров 0000-000047 от 07.06.2024 15:07:36;;;;;;50,000;50,000;;100,000
Отпуск в отделение 0000-000240 от 10.06.2024 10:42:57;;;;;;100,000;;10,000;90,000
Отпуск в отделение 0000-000254 от 21.06.2024 9:42:27;;;;;;90,000;;10,000;80,000
Отпуск в отделение 0000-000263 от 27.06.2024 9:58:41;;;;;;80,000;;10,000;70,000
Отпуск в отделение 0000-000273 от 05.07.2024 9:34:12;;;;;;70,000;;10,000;60,000
Отпуск в отделение 0000-000280 от 10.07.2024 10:07:50;;;;;;60,000;;20,000;40,000
Отпуск в отделение 0000-000299 от 19.07.2024 11:00:13;;;;;;40,000;;10,000;30,000
Отпуск в отделение 0000-000307 от 26.07.2024 10:44:41;;;;;;30,000;;10,000;20,000
Отпуск в отделение 0000-000311 от 29.07.2024 11:48:44;;;;;;20,000;;10,000;10,000
Поступление товаров 0000-000062 от 02.08.2024 17:19:58;;;;;;10,000;100,000;;110,000
Отпуск в отделение 0000-000338 от 16.08.2024 13:28:18;;;;;;110,000;;10,000;100,000
Отпуск в отделение 0000-000350 от 23.08.2024 11:38:39;;;;;;100,000;;10,000;90,000
Отпуск в отделение 0000-000355 от 28.08.2024 10:42:57;;;;;;90,000;;10,000;80,000
Отпуск в отделение 0000-000361 от 02.09.2024 10:35:09;;;;;;80,000;;10,000;70,000
Отпуск в отделение 0000-000373 от 11.09.2024 11:04:02;;;;;;70,000;;10,000;60,000
Отпуск в отделение 0000-000386 от 20.09.2024 11:24:48;;;;;;60,000;;10,000;50,000
Отпуск в отделение 0000-000448 от 08.11.2024 11:03:12;;;;;;50,000;;10,000;40,000
Отпуск в отделение 0000-000459 от 15.11.2024 10:57:47;;;;;;40,000;;10,000;30,000
Отпуск в отделение 0000-000469 от 20.11.2024 15:17:24;;;;;;30,000;;10,000;20,000
Отпуск в отделение 0000-000476 от 25.11.2024 10:34:51;;;;;;20,000;;10,000;10,000
Отпуск в отделение 0000-000482 от 28.11.2024 14:15:20;;;;;;10,000;;10,000;
80524 до 31.05.27, <партии не учитываются>;;;;;;;200,000;100,000;100,000
Поступление товаров 0000-000103 от 04.12.2024 15:21:14;;;;;;;200,000;;200,000
Отпуск в отделение 0000-000496 от 06.12.2024 13:43:57;;;;;;200,000;;10,000;190,000
Отпуск в отделение 0000-000503 от 10.12.2024 14:04:49;;;;;;190,000;;10,000;180,000
Отпуск в отделение 0000-000505 от 13.12.2024 9:22:52;;;;;;180,000;;10,000;170,000
Отпуск в отделение 0000-000510 от 17.12.2024 14:03:59;;;;;;170,000;;10,000;160,000
Отпуск в отделение 0000-000520 от 24.12.2024 10:56:12;;;;;;160,000;;10,000;150,000
Отпуск в отделение 0000-000532 от 27.12.2024 16:20:37;;;;;;150,000;;50,000;100,000
Мундштук для алкотектора одноразовый;;;;;шт;2 000,000;;;2 000,000
<серии не учитываются>, <партии не учитываются>;;;;;;2 000,000;;;2 000,000
Налоксон, р-р д/ин. 0.4 мг/мл, амп. 1 мл, пач. картон. 10 12.23;;;;;амп. 1 мл;1000,00;;270,000;730,000
20422 до 30.04.26, <партии не учитываются>;;;;;;1 000,000;;270,000;730,000
Отпуск в отделение 0000-000175 от 26.04.2024 10:21:39;;;;;;1 000,000;;50,000;950,000
Отпуск в отделение 0000-000251 от 20.06.2024 9:03:18;;;;;;950,000;;50,000;900,000
Отпуск в отделение 0000-000259 от 24.06.2024 11:19:16;;;;;;900,000;;20,000;880,000
Отпуск в отделение 0000-000372 от 11.09.2024 10:22:00;;;;;;880,000;;20,000;860,000
Отпуск в отделение 0000-000389 от 23.09.2024 11:28:55;;;;;;860,000;;50,000;810,000
Отпуск в отделение 0000-000492 от 04.12.2024 15:36:06;;;;;;810,000;;50,000;760,000
Отпуск в отделение 0000-000522 от 24.12.2024 15:26:22;;;;;;760,000;;30,000;730,000
Натрия хлорид р-р 9 мг/мл, конт. 200 см3 (мл), ящ. картон. 32 Мосф. 04.25;;;;;конт. 200 см3;288,000;;288,000;
0650922 до 20.09.27, <партии не учитываются>;;;;;;288,000;;288,000;
Отпуск в отделение 0000-000015 от 16.01.2024 14:31:19;;;;;;288,000;;64,000;224,000
Отпуск в отделение 0000-000017 от 16.01.2024 15:20:56;;;;;;224,000;;32,000;192,000
Отпуск в отделение 0000-000032 от 29.01.2024 10:15:01;;;;;;192,000;;32,000;160,000
Отпуск в отделение 0000-000037 от 02.02.2024 11:11:51;;;;;;160,000;;32,000;128,000
Отпуск в отделение 0000-000040 от 05.02.2024 10:54:32;;;;;;128,000;;32,000;96,000
Отпуск в отделение 0000-000042 от 07.02.2024 9:45:49;;;;;;96,000;;32,000;64,000
Отпуск в отделение 0000-000044 от 07.02.2024 10:46:01;;;;;;64,000;;32,000;32,000
Отпуск в отделение 0000-000050 от 09.02.2024 10:15:35;;;;;;32,000;;32,000;
Натрия хлорид, р-р д/ин. 0.9 %, амп. 10 мл, пач. картон. 10 Фармасинтез 04.24;;;;;амп. 10 мл;;80 400,000;32 130,000;48 270,000
1581123 до 30.11.28, <партии не учитываются>;;;;;;;6 320,000;6 320,000;
Поступление товаров 0000-000022 от 11.04.2024 15:58:28;;;;;;;6 320,000;;6 320,000
Отпуск в отделение 0000-000159 от 17.04.2024 9:05:57;;;;;;6 320,000;;410,000;5 910,000
Отпуск в отделение 0000-000169 от 24.04.2024 9:37:10;;;;;;5 910,000;;820,000;5 090,000
Отпуск в отделение 0000-000175 от 26.04.2024 10:21:39;;;;;;5 090,000;;420,000;4 670,000
Отпуск в отделение 0000-000184 от 06.05.2024 10:38:18;;;;;;4 670,000;;820,000;3 850,000
Отпуск в отделение 0000-000205 от 20.05.2024 13:40:22;;;;;;3 850,000;;820,000;3 030,000
Отпуск в отделение 0000-000214 от 23.05.2024 13:10:14;;;;;;3 030,000;;410,000;2 620,000
Отпуск в отделение 0000-000221 от 27.05.2024 11:10:05;;;;;;2 620,000;;410,000;2 210,000
Отпуск в отделение 0000-000224 от 29.05.2024 10:48:28;;;;;;2 210,000;;820,000;1 390,000
Отпуск в отделение 0000-000227 от 03.06.2024 9:38:13;;;;;;1 390,000;;410,000;980,000
Отпуск в отделение 0000-000237 от 10.06.2024 9:49:51;;;;;;980,000;;380,000;600,000
Отпуск в отделение 0000-000242 от 10.06.2024 11:05:29;;;;;;600,000;;410,000;190,000
Отпуск в отделение 0000-000245 от 18.06.2024 10:51:43;;;;;;190,000;;190,000;
1591123 до 30.11.28, <партии не учитываются>;;;;;;;20 480,000;20 480,000;
Поступление товаров 0000-000022 от 11.04.2024 15:58:28;;;;;;;20 480,000;;20 480,000
Отпуск в отделение 0000-000147 от 12.04.2024 8:30:22;;;;;;20 480,000;;2 050,000;18 430,000
Отпуск в отделение 0000-000150 от 12.04.2024 9:48:40;;;;;;18 430,000;;820,000;17 610,000
Отпуск в отделение 0000-000161 от 17.04.2024 10:12:19;;;;;;17 610,000;;410,000;17 200,000
Отпуск в отделение 0000-000165 от 22.04.2024 10:49:17;;;;;;17 200,000;;410,000;16 790,000
Отпуск в отделение 0000-000182 от 06.05.2024 8:58:10;;;;;;16 790,000;;820,000;15 970,000
Отпуск в отделение 0000-000188 от 06.05.2024 11:41:10;;;;;;15 970,000;;820,000;15 150,000
Отпуск в отделение 0000-000190 от 07.05.2024 11:06:49;;;;;;15 150,000;;410,000;14 740,000
Отпуск в отделение 0000-000243 от 14.06.2024 11:14:03;;;;;;14 740,000;;410,000;14 330,000
Отпуск в отделение 0000-000245 от 18.06.2024 10:51:43;;;;;;14 330,000;;220,000;14 110,000
Отпуск в отделение 0000-000251 от 20.06.2024 9:03:18;;;;;;14 110,000;;410,000;13 700,000
Отпуск в отделение 0000-000257 от 21.06.2024 10:04:02;;;;;;13 700,000;;820,000;12 880,000
Отпуск в отделение 0000-000259 от 24.06.2024 11:19:16;;;;;;12 880,000;;410,000;12 470,000
Отпуск в отделение 0000-000271 от 03.07.2024 9:32:38;;;;;;12 470,000;;820,000;11 650,000
Отпуск в отделение 0000-000276 от 05.07.2024 11:22:28;;;;;;11 650,000;;410,000;11 240,000
Отпуск в отделение 0000-000279 от 08.07.2024 10:11:33;;;;;;11 240,000;;820,000;10 420,000
Отпуск в отделение 0000-000283 от 12.07.2024 10:53:59;;;;;;10 420,000;;410,000;10 010,000
Отпуск в отделение 0000-000288 от 15.07.2024 10:19:45;;;;;;10 010,000;;820,000;9 190,000
Отпуск в отделение 0000-000293 от 17.07.2024 9:59:13;;;;;;9 190,000;;410,000;8 780,000
Отпуск в отделение 0000-000299 от 19.07.2024 11:00:13;;;;;;8 780,000;;410,000;8 370,000
Отпуск в отделение 0000-000309 от 29.07.2024 10:50:02;;;;;;8 370,000;;410,000;7 960,000
Отпуск в отделение 0000-000314 от 02.08.2024 14:51:50;;;;;;7 960,000;;410,000;7 550,000
Отпуск в отделение 0000-000326 от 09.08.2024 11:03:19;;;;;;7 550,000;;410,000;7 140,000
Отпуск в отделение 0000-000328 от 12.08.2024 11:39:14;;;;;;7 140,000;;410,000;6 730,000
Отпуск в отделение 0000-000331 от 12.08.2024 14:45:46;;;;;;6 730,000;;170,000;6 560,000
Отпуск в отделение 0000-000426 от 23.10.2024 10:47:42;;;;;;6 560,000;;410,000;6 150,000
Отпуск в отделение 0000-000433 от 28.10.2024 10:31:12;;;;;;6 150,000;;410,000;5 740,000
Отпуск в отделение 0000-000436 от 01.11.2024 13:39:05;;;;;;5 740,000;;410,000;5 330,000
Отпуск в отделение 0000-000440 от 05.11.2024 9:29:38;;;;;;5 330,000;;410,000;4 920,000
Отпуск в отделение 0000-000444 от 06.11.2024 8:43:10;;;;;;4 920,000;;410,000;4 510,000
Отпуск в отделение 0000-000448 от 08.11.2024 11:03:12;;;;;;4 510,000;;410,000;4 100,000
Отпуск в отделение 0000-000452 от 11.11.2024 10:25:38;;;;;;4 100,000;;410,000;3 690,000
Отпуск в отделение 0000-000457 от 15.11.2024 10:16:51;;;;;;3 690,000;;820,000;2 870,000
Отпуск в отделение 0000-000462 от 18.11.2024 10:23:59;;;;;;2 870,000;;410,000;2 460,000
Отпуск в отделение 0000-000465 от 20.11.2024 9:29:48;;;;;;2 460,000;;410,000;2 050,000
Отпуск в отделение 0000-000473 от 25.11.2024 9:50:22;;;;;;2 050,000;;410,000;1 640,000
Отпуск в отделение 0000-000479 от 28.11.2024 10:45:08;;;;;;1 640,000;;410,000;1 230,000
Отпуск в отделение 0000-000487 от 03.12.2024 11:22:36;;;;;;1 230,000;;410,000;820,000
Отпуск в отделение 0000-000492 от 04.12.2024 15:36:06;;;;;;820,000;;410,000;410,000
Отпуск в отделение 0000-000495 от 06.12.2024 11:07:16;;;;;;410,000;;410,000;
530224 до 28.02.29, <партии не учитываются>;;;;;;;26 800,000;410,000;26 390,000
Поступление товаров 0000-000070 от 07.08.2024 15:28:46;;;;;;;26 800,000;;26 800,000
Отпуск в отделение 0000-000430 от 25.10.2024 9:45:24;;;;;;26 800,000;;410,000;26 390,000
670324 до 28.02.29, <партии не учитываются>;;;;;;;4 750,000;4 750,000;
Поступление товаров 0000-000088 от 07.11.2024 10:44:16;;;;;;;4 750,000;;4 750,000
Отпуск в отделение 0000-000502 от 10.12.2024 11:09:59;;;;;;4 750,000;;410,000;4 340,000
Отпуск в отделение 0000-000507 от 13.12.2024 13:28:27;;;;;;4 340,000;;410,000;3 930,000
Отпуск в отделение 0000-000510 от 17.12.2024 14:03:59;;;;;;3 930,000;;410,000;3 520,000
Отпуск в отделение 0000-000511 от 17.12.2024 14:38:17;;;;;;3 520,000;;410,000;3 110,000
Отпуск в отделение 0000-000516 от 20.12.2024 11:23:13;;;;;;3 110,000;;410,000;2 700,000
Отпуск в отделение 0000-000518 от 23.12.2024 13:51:58;;;;;;2 700,000;;410,000;2 290,000
Отпуск в отделение 0000-000520 от 24.12.2024 10:56:12;;;;;;2 290,000;;410,000;1 880,000
Отпуск в отделение 0000-000529 от 27.12.2024 9:37:50;;;;;;1 880,000;;1 880,000;
680324 до 28.02.29, <партии не учитываются>;;;;;;;22 050,000;170,000;21 880,000
Поступление товаров 0000-000088 от 07.11.2024 10:44:16;;;;;;;22 050,000;;22 050,000
Отпуск в отделение 0000-000529 от 27.12.2024 9:37:50;;;;;;22 050,000;;170,000;21 880,000
Натрия хлорид, р-р д/инф. 0.9 %, бан. 200 мл, пач. картон. 28 ЭСКОМ;;;;;бан. 200 см3;;1 344,000;1 344,000;
5110723 до 31.07.26, <партии не учитываются>;;;;;;;840,000;840,000;
Поступление товаров 0000-000009 от 15.03.2024 11:42:40;;;;;;;840,000;;840,000
Отпуск в отделение 0000-000104 от 18.03.2024 8:53:59;;;;;;840,000;;56,000;784,000
Отпуск в отделение 0000-000108 от 21.03.2024 8:15:48;;;;;;784,000;;28,000;756,000
Отпуск в отделение 0000-000116 от 25.03.2024 11:39:14;;;;;;756,000;;28,000;728,000
Отпуск в отделение 0000-000119 от 27.03.2024 10:43:22;;;;;;728,000;;56,000;672,000
Отпуск в отделение 0000-000121 от 01.04.2024 10:10:51;;;;;;672,000;;56,000;616,000
Отпуск в отделение 0000-000130 от 03.04.2024 9:50:03;;;;;;616,000;;56,000;560,000
Отпуск в отделение 0000-000140 от 09.04.2024 11:08:04;;;;;;560,000;;28,000;532,000
Отпуск в отделение 0000-000159 от 17.04.2024 9:05:57;;;;;;532,000;;56,000;476,000
Отпуск в отделение 0000-000169 от 24.04.2024 9:37:10;;;;;;476,000;;56,000;420,000
Отпуск в отделение 0000-000181 от 03.05.2024 13:17:20;;;;;;420,000;;28,000;392,000
Отпуск в отделение 0000-000183 от 06.05.2024 9:17:42;;;;;;392,000;;28,000;364,000
