\xEF\xBB\xBFРаздел;Подраздел;ID;Требование;Старое ТЗ;Новое значение;Статус;Чем обеспечивается;Варианты для рассмотрения
8. Система управления;8.3 Интерфейсы;1.8.4;Интерфейс с верхним уровнем (WMS);Ethernet, защищённый канал, шифрование;Требует уточнения протокола;Эскизный проект;Сетевое оборудование, ПО;REST API; MQTT; WebSocket; Комбинация
8. Система управления;8.4 Оператор;1.8.5;Панель оператора;Сенсорная панель, кнопки, индикаторы, сканер QR;Определяется на этапе эскизного проекта;Эскизный проект;HMI-панель;Сенсорная панель + кнопки; Планшет/терминал
8. Система управления;8.5 Мониторинг;1.8.6;Удалённый мониторинг;Телеметрия (не детализировано);Определяется на этапе эскизного проекта;Эскизный проект;Система мониторинга;Статус оборудования; Аварийные сигналы; Температура/влажность; Данные по запросу
8. Система управления;8.6 Безопасность;1.8.7;Аварийная остановка;Концевые выключатели, датчики предотвращения столкновений;Аппаратная кнопка E-STOP обязательна + концевые выключатели;Подтверждено + Эскизный проект;Система безопасности;Аппаратная E-STOP; Концевые выключатели; Мониторинг выхода выключателя из строя; Два уровня выключателей; Контроль софт-лимитов; Датчики столкновений
9. Надёжность и безопасность;9.1 ИБП;1.9.1;ИБП;Рекомендуется для graceful shutdown;Определяется на этапе эскизного проекта;Эскизный проект;ИБП;Только graceful shutdown; С автономной работой
9. Надёжность и безопасность;9.1 ИБП;1.9.2;Время graceful shutdown;Не указано;Определяется на этапе эскизного проекта;Эскизный проект;ИБП + ПО;
9. Надёжность и безопасность;9.2 Восстановление;1.9.3;Макс. время восстановления после сбоя;Не указано;—;Требует уточнения;Конструкция, ЗИП, документация;
9. Надёжность и безопасность;9.2 Восстановление;1.9.4;Время перехода в ручной режим;Не указано;≤15 минут;Подтверждено;Конструкция доступа, документация;
9. Надёжность и безопасность;9.3 Надёжность;1.9.5;MTBF (наработка на отказ);Не указано;Определяется на этапе эскизного проекта;Эскизный проект;Выбор компонентов;
9. Надёжность и безопасность;9.4 Защита персонала;1.9.6;Защита персонала;Ограничение доступа, защитные элементы, разделитель с окном;—;Требует уточнения;Ограждение, датчики;Физическое ограждение; Световые барьеры / датчики присутствия; Ограждение + датчики; Разделитель с окном
9. Надёжность и безопасность;9.5 Пожарная безопасность;1.9.7;Пожарная безопасность;Не указано;Определяется на этапе эскизного проекта;Эскизный проект;Материалы, интеграция с системами здания;
9. Надёжность и безопасность;9.6 Защита IP;1.9.8;Степень защиты (IP);Не указано;Определяется на этапе эскизного проекта;Эскизный проект;Конструкция корпусов;IP54; Другой класс
9. Надёжность и безопасность;9.7 Резервирование;1.9.9;Резервирование данных;Данные о наполнении склада должны быть зарезервированы;Определяется на этапе эскизного проекта;Эскизный проект;Система хранения данных;Локальное; Облачное; Комбинированное
10. Видеофиксация и мониторинг;10.1 Видеонаблюдение;1.10.1;Общее видеонаблюдение;Не указано;Да, требуется;Подтверждено;Камеры видеонаблюдения;
10. Видеофиксация и мониторинг;10.1 Видеонаблюдение;1.10.2;Покадровое отслеживание единиц;Не указано;Да, требуется (приёмка → хранение → отгрузка);Подтверждено;Камеры + система фиксации;
10. Видеофиксация и мониторинг;10.1 Видеонаблюдение;1.10.3;Срок хранения видеоархива;Не указано;Определяется на этапе эскизного проекта;Эскизный проект;Система хранения видео;7 дней; 14 дней; 30 дней; 90 дней
10. Видеофиксация и мониторинг;10.2 Машинное зрение;1.10.4;Машинное зрение;Не указано;Определяется на этапе эскизного проекта;Эскизный проект;Камеры + ПО;Контроль заполнения контейнера; Идентификация упаковок; Контроль качества захвата; Определение позиции объекта; Определение позиции пеналов по AprilTag
10. Видеофиксация и мониторинг;10.2 Машинное зрение;1.10.5;Идентификация пеналов;Не указано;Машинно- и человекочитаемая идентификация с отслеживанием позиции;Подтверждено;Маркировка пеналов, система машинного зрения;AprilTag; QR-код + номер; Другие маркеры
10. Видеофиксация и мониторинг;10.3 Мониторинг среды;1.10.6;Мониторинг температуры/влажности;Точность 1°C / 5%, ≥2 точки, RS-485, ≥1 Гц;Определяется на этапе эскизного проекта (параметры старого ТЗ как базовые);Эскизный проект;Датчики;
10. Видеофиксация и мониторинг;10.4 Удалённый мониторинг;1.10.7;Удалённый мониторинг — состав данных;Телеметрия;Определяется на этапе эскизного проекта;Эскизный проект;Система мониторинга;Статус оборудования; Аварийные сигналы; Температура/влажность; Логи/статистика по запросу
11. Монтаж и обслуживание;11.1 Монтаж;1.11.1;Срок монтажа и пусконаладки;Не указано;≤30 дней;Подтверждено;Модульность конструкции;
11. Монтаж и обслуживание;11.1 Монтаж;1.11.2;Монтаж без остановки операций;Не указано;Да, требуется (для расширения);Подтверждено;Модульность конструкции;
11. Монтаж и обслуживание;11.2 Персонал;1.11.3;Персонал для эксплуатации;Обучение, инструктаж по ТБ, группа электробезопасности;—;Требует уточнения;Документация, обучение;2 оператора + 1 техник + удалённая поддержка
11. Монтаж и обслуживание;11.3 Транспортировка;1.11.4;Транспортировка;Авто, авиа, ж/д; контейнерная или в упаковке производителя;Сохраняется;Подтверждено;Габариты модулей, упаковка;
11. Монтаж и обслуживание;11.4 Масштабируемость;1.11.5;Модульность и масштабируемость;Добавление секций без изменения существующей конструкции;Сохраняется;Подтверждено;Конструкция модулей;
11. Монтаж и обслуживание;11.5 ТО;1.11.6;Периодичность ТО;Согласно эксплуатационной документации;Определяется на этапе эскизного проекта;Эскизный проект;Документация;
11. Монтаж и обслуживание;11.6 ЗИП;1.11.7;Доступность запасных частей;Не указано;Стандартные компоненты с доступностью на рынке;Подтверждено;Выбор компонентов;
