Наименование	Высота (мм)	Длина (мм)	Ширина (мм)	Масса (г)	Примечание
Глюкоза, р-р для в/в введ. 40 %, амп. 10 мл, пач. картон. 10 Арм.12.23	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Глюкоза, р-р для в/в введ. 400 мг/мл, амп. 10 мл, пач. картон. 10 Фармасинтез 04.23	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Дексаметазон, р-р д/ин. 4 мг/мл, амп. 1 мл, пач. картон. 25 09.23	130	90	50	80	Оценка (стандарт ампулы N25)
Дексаметазон, р-р д/ин. 4 мг/мл, с нож. амп., 1 мл, N 25 Эллара ООО07.23	130	90	50	80	Оценка (стандарт ампулы N25)
Димедрол р-р 10 мг/мл, амп. 1 см3 (мл), картон. пач. 10 Борис 06.24	110	70	20	40	Оценка (стандарт ампулы N10)
Димедрол, р-р для в/в и в/м введ. 10 мг/мл, амп. 1 мл, пач. картон. 10 Вел.12,23	110	70	20	40	Оценка (стандарт ампулы N10)
Допамин, конц. д/р-ра д/инф. 40 мг/мл, амп. 5 мл, пач. картон. 10 Биохимик марк	130	90	35	70	Оценка (стандарт ампулы 5мл N10)
Дроперидол, р-р д/ин. 2.5 мг/мл, 5 мл, N 5 Московский эндокринный завод ФГУП	110	60	25	50	Оценка (стандарт ампулы 5мл N5)
Дроперидол, р-р д/ин. 2.5 мг/мл, амп. 2 мл, бл. 5, 04.24	100	60	20	30	Оценка (стандарт ампулы 2мл N5)
Дротаверин-Эллара, р-р для в/в и в/м введ. 20 мг/мл, амп. 2 мл, пач. картон. 10 12.23	120	80	25	60	Оценка (стандарт ампулы N10)
ДРОТАВЕРИН, р-р для в/в и в/м введ. 20 мг/мл, амп. 2 мл, пач. картон. 10 06.24	120	80	25	60	Оценка (стандарт ампулы N10)
Калия хлорид, конц. д/р-ра д/инф. 40 мг/мл, амп. 10 мл, пач. картон. 10	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Кальция глюконат, р-р для в/в и в/м введ. 100 мг/мл, 10 мл, N 10 Армавир. 04.25	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Каптоприл, табл. 25 мг, бл. 10, пач. картон. 4 Борисов. 07.23	110	65	22	25	Оценка (стандарт таблетки)
Катетер в/в Бабочка	150	100	20	10	Оценка (индив. упаковка)
Катетер в/в с доп.портом	150	100	25	15	Оценка (индив. упаковка)
Катетер урологический Нелатона	400	50	20	25	Оценка (индив. упаковка длинная)
Кетопрофен, р-р для в/в и в/м введ. 50 мг/мл, амп. 2 мл, пач. картон. 10 10.2024	120	80	25	60	Оценка (стандарт ампулы N10)
КЕТОРОЛАК ВЕЛФАРМ, р-р для в/в и в/м введ. 30 мг/мл, амп. 1 мл, 10 12.23	110	70	20	40	Оценка (стандарт ампулы N10)
Кеторолак, р-р для в/в и в/м введ. 30 мг/мл, амп. 2 мл, кор. 10 06.24	120	80	25	60	Оценка (стандарт ампулы N10)
Кеторолак, р-р для в/в и в/м введ. 30 мг/мл, амп. 2 мл, пач. картон. 10	120	80	25	60	Оценка (стандарт ампулы N10)
Клопидогрел, табл. п.п.о. 75 мг, бан. 28, пач. картон. 1 Озон	60	40	40	40	Оценка (банка в пачке)
Клопидогрел, табл. п.п.о. 75 мг, бл. 7, пач. картон. 4 Розлекс 01.23	110	65	22	25	Оценка (стандарт таблетки)
Клопидогрел, табл. п.п.о. 75 мг, бл. 7, пач. картон. 4 Скан Биотек	110	65	22	25	Оценка (стандарт таблетки)
Лейкопластырь 2*500	50	50	20	30	Оценка (рулон 2см х 5м)
Лейкопластырь бактерицидный	100	30	1	2	Оценка (1 шт)
Лейкопластырь медицинский для фиксации катетеров	100	80	5	10	Оценка (1 шт)
Лента диаграммная из термобумаги	120	50	50	80	Оценка (рулон)
Лидокаин-Виал, спрей д/местн. и наружн. прим. 10 %, фл. 38 г, пач. картон. 1	100	40	40	60	Оценка (спрей флакон)
Лидокаин, р-р д/ин. 100 мг/мл, 2 мл, N 10 Органика АО	120	80	25	60	Оценка (стандарт ампулы N10)
Лидокаин, р-р д/ин. 100 мг/мл, амп. 2 мл, пач. картон. 10 Органика, 04.24	120	80	25	60	Оценка (стандарт ампулы N10)
Лидокаин, р-р д/ин. 20 мг/мл, амп. 2 мл, кор. 10 10.2024	120	80	25	60	Оценка (стандарт ампулы N10)
Лидокаин, спрей д/местн. и наружн. прим. доз. 4.6 мг/доза, фл. 650 г, пач. картон. 1	150	60	60	700	Оценка (крупный флакон 650г)
Лоратадин, табл. 10 мг, конт. 10, пач. картон. 1 10.2024	110	65	22	25	Оценка (стандарт таблетки)
Магния сульфат, р-р для в/в введ. 250 мг/мл, амп. 10 мл, пач. картон. 10 Гротекс 06.24	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Магния сульфат, р-р для в/в введ. 250 мг/мл, амп. 10 мл, пач. картон. 10 ЭСКОМ 12.23	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Магния сульфат, р-р для в/в введ. 250 мг/мл, амп. 10 мл, Слав. 07.25	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Маска ларингеальная одноразовая	200	100	40	50	Оценка (индив. упаковка)
Маска медицинская одноразовая	180	100	5	5	Оценка (индив. упаковка)
Мезатон, р-р д/ин. 10 мг/мл, амп. 1 мл, пач. картон. 10 04.23	110	70	20	40	Оценка (стандарт ампулы N10)
Мексицинат Органика, р-р для в/в и в/м введ. 50 мг/мл, амп. 5 мл, пач. картон. 10	130	90	35	70	Оценка (стандарт ампулы 5мл N10)
Метоклопрамид-Эском, р-р для в/в и в/м введ. 5 мг/мл, амп. 2 мл, пач. картон. 10 12.23	120	80	25	60	Оценка (стандарт ампулы N10)
Метоклопрамид, р-р для в/в и в/м введ. 5 мг/мл, амп. 2 мл, пач. картон. 10 Биохимик 11.24	120	80	25	60	Оценка (стандарт ампулы N10)
Метопролол-Арзу, р-р для в/в введ. 1 мг/мл, амп. 5 мл, пач. картон. 10 08.24	130	90	35	70	Оценка (стандарт ампулы 5мл N10)
Метопролол, р-р для в/в введ. 1 мг/мл, амп. 5 мл, пач. картон. 5 Озон, 04.24	110	60	25	50	Оценка (стандарт ампулы 5мл N5)
Метронидазол, р-р д/инф. 500 мг/100 мл, фл. 100 мл, пач. картон. 1 10.2024	120	50	50	250	Оценка (флакон 100мл)
Милдронат, р-р для в/в в/м и парабульб. введ. 100 мг/мл, амп. 5 мл, пач. картон. 10 10.2024	130	90	35	70	Оценка (стандарт ампулы 5мл N10)
Моксонидин-СЗ, табл. п.п.о. 0.2 мг, бл. 30, пач. картон. 2 Северная звезда 04.23	110	65	22	30	Оценка (стандарт таблетки)
Моксонидин, табл. п.п.о. 0.2 мг, бл. 14, пач. картон. 1 Озон	110	65	22	30	Оценка (стандарт таблетки)
Морфин р-р 10 мг/мл, амп. 1 см3 (мл), пач. картон. 10	110	70	20	40	Оценка (стандарт ампулы N10)
Налоксон, р-р д/ин. 0.4 мг/мл, амп. 1 мл, пач. картон. 10 12.23	110	70	20	40	Оценка (стандарт ампулы N10)
Натрия хлорид р-р 9 мг/мл, конт. 200 см3 (мл), ящ. картон. 32 Мосф. 04.25	150	90	50	250	Оценка (пакет/контейнер 200мл)
Натрия хлорид, р-р д/ин. 0.9 %, амп. 10 мл, пач. картон. 10 Фармасинтез 04.24	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Натрия хлорид, р-р д/инф. 0.9 %, бан. 200 мл, пач. картон. 28 ЭСКОМ	140	70	70	350	Оценка (бутылка 200мл)
Натрия хлорид, р-р д/инф. 0.9 %, бан. 200 мл, пач. картон. 28Мосфарм 05.24	140	70	70	350	Оценка (бутылка 200мл)
Натрия хлорид, растворит. д/лек. форм д/ин. 0.9 %, амп. 10 мл № 10 Армавир.03.24	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Натрия хлорид, растворит. д/лек. форм д/ин. 0.9 %, амп. 10 мл, пач. картон. 10 Эском Неро	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Нитроспрей, спрей подъязычн. доз. 0.4 мг/доза, с нас.-распыл., 200 доз(а), 10 мл, N 1 Фармстандарт-Л	90	35	35	50	Оценка (спрей 10мл)
Нитроспрей, спрей подъязычн. доз. 0.4 мг/доза, фл. с доз. насосом 200, пач. картон. 1	90	35	35	50	Оценка (спрей 10мл)
Нифедипин, табл. п.п.о. 10 мг, N 50 Озон Фарм ООО 02.25	110	65	35	40	Оценка (утолщенная пачка)
Новокаин, р-р д/ин. 0.5 %, с нож. амп., 10 мл, N 10 Армавирская биофабрика ФКП 12.23	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Окситоцин-Рихтер, р-р д/инф. и в/м введ. 5 МЕ/мл, амп. 1 мл, пач. картон. 5	100	60	20	30	Оценка (стандарт ампулы N5)
Омепразол, капс. 20 мг, бл. 10, пач. картон. 3	110	65	22	30	Оценка (стандарт капсулы)
Омепразол, лиоф. д/приг. р-ра д/инф. 40 мг, фл. 40 мг, пач. картон. 1	60	30	30	25	Оценка (флакон порошок)
Парацетамол детский, сусп. для приема внутрь 120 мг/5 мл, фл. 100 г, пач. картон. 1 04.23	120	50	50	130	Оценка (флакон 100мл)
Парацетамол, сусп. для приема внутрь 120 мг/5 мл, с доз. ложкой, 100 мл, N 1 Синтез ОАО	120	50	50	130	Оценка (флакон 100мл)
Пентоксифиллин, конц. д/приг. р-ра д/инф. 20 мг/мл, амп. 5 мл, пач. картон. 10 10.2024	130	90	35	70	Оценка (стандарт ампулы 5мл N10)
Перекись водорода, р-р д/местн. и наружн. прим. 3 %, д/стационар., 100 мл, N 1 ЮжФарм ООО	110	45	45	120	Оценка (флакон 100мл)
Перекись водорода, р-р д/местн. и наружн. прим. 3 %, фл. 100 мл Тульская ФФ 01.23	110	45	45	120	Оценка (флакон 100мл)
Перчатки н/ст латексные смотровые	240	130	10	30	Оценка (1 пара, плоская)
Пиридоксин, р-р д/ин. 50 мг/мл, 1 мл, N 10 Ереванская ХФФ 12.23	110	70	20	40	Оценка (стандарт ампулы N10)
Пиридоксин, р-р д/ин. 50 мг/мл, амп. 1 мл, кор. 10	110	70	20	40	Оценка (стандарт ампулы N10)
Платифиллина гидротартрат, р-р для п/к введ. 2 мг/мл, с нож. амп., 1 мл, N 10 Дальхимфарм	110	70	20	40	Оценка (стандарт ампулы N10)
Преднизолон, р-р для в/в и в/м введ. 30 мг/мл, амп. 1 мл, пач. картон. 10 10.2024	110	70	20	40	Оценка (стандарт ампулы N10)
Проинин, р-р для в/в и в/м введ. 50 мг/мл, амп. 5 мл, пач. картон. 10 02.23	130	90	35	70	Оценка (стандарт ампулы 5мл N10)
Пропофол Каби, эмульс. для в/в введ. 10 мг/мл, амп. 20 мл, пач. картон. 5	140	90	60	200	Оценка (крупные ампулы 20мл N5)
Простынь хирургическая нестерильная	300	200	10	80	Оценка (сложенная простыня)
Пульмибуд, сусп. д/ингал. доз. 0.5 мг/мл, амп. 2 мл, пач. картон. 20	130	80	40	100	Оценка (пачка небулы N20)
Раствор Рингера, р-р д/инф., бан. 200 мл, пач. картон. 28 Мосфарм 07.23	140	70	70	350	Оценка (бутылка 200мл)
Реамберин, р-р д/инф. 1.5 %, конт. 250 мл, тара картон. 5 12.23	160	100	50	280	Оценка (пакет 250мл)
Салфетки марлевые ньюфарм 16x 14см № 10шт стер	160	140	10	30	Оценка (плоская пачка)
Салфетки спиртовые 110*125 одноразовые	125	110	2	5	Оценка (саше)
Салфетки стерильные 16*14	160	140	5	15	Оценка (индив. пачка)
Сальбутамол АВ, аэроз. д/ингал. доз. 100 мкг/доза, балл. 200, пач. картон. 1 04.23	100	40	40	60	Оценка (стандарт аэрозоль)
Сибазон, р-р для в/в и в/м введ. 5 мг/мл, с нож. амп., 2 мл, N 5 Московский эндокринный завод ФГУП	100	60	20	30	Оценка (стандарт ампулы 2мл N5)
Системы для инфузий одноразовые	200	100	30	40	Оценка (пакет с системой)
Скальпель одноразовый	150	30	10	15	Оценка (индив. упаковка)
Скарификатор одноразовый	50	20	1	2	Оценка (бумажн. уп.)
Смекта, пор. д/сусп. для приема внутрь 3 г, пак. 3,76 г, пач. картон. 30	110	80	60	150	Оценка (пачка 30 пакетиков)
Спазматен, р-р для в/в и в/м введ. 500 мг/мл+2 мг/мл+0.02 мг/мл, амп. 5 мл, пач. картон. 10 07.24г.	130	90	35	70	Оценка (стандарт ампулы 5мл N10)
Стелфрин, р-р д/ин. 10 мг/мл, амп. 1 мл, пач. картон. 10	110	70	20	40	Оценка (стандарт ампулы N10)
Суприламин, р-р для в/в и в/м введ. 20 мг/мл, амп. 1 мл, пач. картон. 5 02.24	100	60	20	30	Оценка (стандарт ампулы N5)
Тест-полоски к гюкометрам Diacont 04/24	80	50	50	40	Оценка (туба/пачка)
Тиамина хлорид, р-р для в/м введ. 50 мг/мл, 1 мл, N 10 Ереванская ХФФ 12.23	110	70	20	40	Оценка (стандарт ампулы N10)
Трамадол р-р 50 мг/мл, амп. 2 см3 (мл), пач. картон. 5	100	60	20	30	Оценка (стандарт ампулы N5)
Трамадол, р-р д/ин. 50 мг/мл, 2 мл, N 5 Московский эндокринный завод ФГУП	100	60	20	30	Данные из файла
Тринальгин р-р 500 мг+2 мг+0.02 мг/мл, амп. 5 см3 (мл), пач. картон. 10 01.23	130	90	35	70	Оценка (стандарт ампулы 5мл N10)
Уголь активированный, табл. 250 мг, бл. 10 ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА 04.23	110	65	22	25	Оценка (стандарт таблетки)
Унитиол-Ферейн, р-р для в/м и п/к введ. 5 %, амп. 5 мл, пач. картон. 10 04.23	130	90	35	70	Оценка (стандарт ампулы 5мл N10)
Унитиол, р-р для в/м и п/к введ. 50 мг/мл, амп. 5 мл, кор. 10 Новосиб. 03.25	130	90	35	70	Оценка (стандарт ампулы 5мл N10)
УРАПИДИЛ Дж, р-р для в/в введ. 5 мг/мл, фл. 5 мл, пач. картон. 5	120	50	50	100	Оценка (пачка 5 флаконов)
Урапидил-натив, р-р для в/в введ. 5 мг/мл, фл. 5 мл, пач. картон. 5 10.2024	120	50	50	100	Оценка (пачка 5 флаконов)
Урапресин, р-р для в/в введ. 5 мг/мл, амп. 5 мл, пач. картон. 5	110	60	25	50	Оценка (стандарт ампулы 5мл N5)
Фамотидин, лиоф. д/приг. р-ра для в/в введ. 20 мг, фл. 20 мг, пач. картон. 5	150	50	50	120	Оценка (пачка 5 флаконов)
Фамотидин, табл. п.п.о. 40 мг, бл. 10, пач. картон. 2 10.2024	110	65	22	25	Оценка (стандарт таблетки)
Феназепам, р-р для в/в и в/м введ. 1 мг/мл, амп. 1 мл, пач. картон. 10	110	70	20	40	Оценка (стандарт ампулы N10)
Фентанил, р-р для в/в и в/м введ. 50 мкг/мл, 2 мл, N 10 Московский эндокринный завод ФГУП	100	60	20	30	Данные из файла
Фортелизин, лиоф. д/р-ра для в/в введ. 5 мг (745 000 МЕ), фл. 5 мг, пач. картон. 1	60	25	25	20	Оценка (флакон)
Фуросемид буфус, р-р для в/в и в/м введ. 10 мг/мл, амп. 2 мл, пач. картон. 10 01.23	120	80	25	60	Оценка (стандарт ампулы N10)
Фуросемид, р-р д/ин. 20 мг/2 мл, амп. 2 мл, пач. картон. 10 БЗМП 04.24	120	80	25	60	Оценка (стандарт ампулы N10)
Фуросемид, р-р для в/в и в/м введ. 10 мг/мл, амп. 2 мл, кор. 10 05.24 Дальхим	120	80	25	60	Оценка (стандарт ампулы N10)
Хлоргексидина биглюконат, р-р д/местн. и наружн. прим. 0.05 %, 100 мл, N 1 Тульская 01.23	130	50	50	130	Данные из файла
Хлоргексидина биглюконат, р-р д/наружн. прим. 0.05 %, бан. 100 мл Росбио 24	130	50	50	130	Данные из файла
Хлоропирамин р-р 20 мг/мл, амп. 1 см3 (мл), пач. картон. 5 12.23	100	60	20	30	Данные из файла
Хлоропирамин, р-р для в/в и в/м введ. 20 мг/мл, амп. 1 мл, пач. картон. 5 Армав.12.23	100	60	20	30	Данные из файла
Цефтриаксон, пор. д/приг. р-ра для в/в и в/м введ. 1 г, фл. 1000 мг, пач. картон. 1	70	45	45	18	Данные из файла
Цитофлавин, р-р для в/в введ., амп. 10 мл, пач. картон. 10	170	110	45	150	Данные из файла
Шпатель одноразовый	150	20	2	5	Оценка (индив. уп)
Шприц одноразовый 10 мл	140	30	20	15	Оценка (индив. уп)
Шприц одноразовый 2 мл	100	20	15	5	Оценка (индив. уп)
Шприц одноразовый 20 мл	160	40	25	30	Оценка (индив. уп)
Шприц одноразовый 5 мл	120	25	18	8	Оценка (индив. уп)
Элзепам, р-р для в/в и в/м введ. 1 мг/мл, с нож. амп., 1 мл, N 10 Эллара ООО	110	70	20	40	Оценка (стандарт ампулы N10)
Энап Р, р-р для в/в введ. 1.25 мг/мл, амп. 1 мл, пач. картон. 5	100	60	20	30	Оценка (стандарт ампулы N5)
Этамзилат, р-р д/ин. 125 мг/мл, амп. 2 мл, пач. картон. 10 Новосиб 02,25	120	80	25	60	Оценка (стандарт ампулы N10)
Эуфиллин, р-р для в/в введ. 24 мг/мл, амп. 10 мл, пач. картон. 10 Новосиб 01.23	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Альбумин человеческий, р-р д/инф. 20 %, фл. 50 мл, пач. картон. 1 склад 08.24	100	50	50	130	Оценка (флакон 50мл)
НАДРОПАРИН КАЛЬЦИЯ ВЕЛФАРМ, р-р для п/к введ. 9500 анти-Ха МЕ/мл, амп. 0,3 мл, пач. картон. 10	130	90	30	70	Оценка (шприц-ручки или амп)
ЭНОКСАПАРИН НАТРИЯ ВЕЛФАРМ, р-р д/ин. 10000 анти-Xa МЕ/мл, амп. 0,4 мл, пач. картон. 10	130	90	30	70	Оценка (шприц-ручки или амп)
